group,gall_id,collection_site,collection_date,hard_wall_thickness_mm_1,hard_wall_thickness_mm_2,hard_wall_thickness_mm_ave,pith_wall_thickness_mm_1,pith_wall_thickness_mm_2,pith_wall_thickness_mm_ave,gall_diameter_mm,gall_height_mm,intact_gallfly_larva?,parasitoid?,bird_predation?,gall_contents
1,1,west_lafayette_in,2017october,0.50,0.50,0.500,3.70,3.40,3.550,16.06,19.3,0,1,0,E. gigantea
1,2,west_lafayette_in,2017october,0.50,0.50,0.500,7.00,7.00,7.000,18.2,26.1,0,0,0,early Larval Death
1,3,west_lafayette_in,2017october,0.52,0.52,0.520,2.93,2.76,2.845,11.04,17.02,0,0,0,early Larval Death
1,4,west_lafayette_in,2017october,0.71,0.71,0.710,3.91,3.64,3.775,16.98,24.4,1,0,0,NA
1,5,west_lafayette_in,2017october,0.39,0.39,0.390,7.30,5.30,6.300,21.5,26.6,0,0,1,Bird Attack
1,6,west_lafayette_in,2017october,0.10,0.50,0.300,6.50,7.00,6.750,21.51,26.67,1,0,0,NA
1,7,west_lafayette_in,2017october,0.40,0.40,0.400,4.30,4.30,4.300,16.14,19.64,0,0,1,unknown insect
1,8,west_lafayette_in,2017october,0.60,0.60,0.600,4.50,4.50,4.500,19.67,23.2,0,0,0,NA
1,9,west_lafayette_in,2017october,0.43,0.43,0.430,5.03,3.86,4.445,17.9,21.8,0,0,1,unknown insect
1,10,west_lafayette_in,2017october,0.80,0.80,0.800,4.70,3.30,4.000,18.17,22.43,0,0,1,Mordellistena convicta
1,11,west_lafayette_in,2017october,0.91,0.91,0.910,3.60,3.60,3.600,17.31,21.95,0,0,0,Early Larval Death
2,1,west_lafayette_in,2017october,0.78,0.27,0.525,7.10,5.54,6.320,15.35,22.6,1,0,0,NA
2,2,west_lafayette_in,2017october,0.40,0.84,0.620,4.16,4.60,4.380,18,22.6,0,1,0,E. gigantea
2,3,west_lafayette_in,2017october,0.42,0.28,0.350,7.52,6.86,7.190,18.87,22.53,0,0,1,woodpecker
2,4,west_lafayette_in,2017october,0.03,0.70,0.365,4.55,5.98,5.265,18.43,18.62,0,0,0,frass
2,5,west_lafayette_in,2017october,0.93,0.69,0.810,6.47,6.16,6.315,19.65,26.93,0,0,0,NA
2,6,west_lafayette_in,2017october,0.40,0.14,0.270,7.84,8.05,7.945,21.27,24.19,0,1,0,E. obtusiventris
2,7,west_lafayette_in,2017october,0.11,0.61,0.360,4.69,4.87,4.780,15.12,19.42,0,0,0,frass
2,8,west_lafayette_in,2017october,1.20,1.07,1.135,2.69,2.49,2.590,15.16,17.45,0,1,0,E. gigantiz
2,9,west_lafayette_in,2017october,1.24,0.61,0.925,3.02,1.83,2.425,15.03,18.95,0,1,0,NA
2,10,west_lafayette_in,2017october,1.32,0.60,0.960,4.68,3.54,4.110,12.07,19.64,0,1,0,frass
5,1,west_lafayette_in,2017october,0.70,1.00,0.850,9.00,9.00,9.000,23.1,29.16,1,0,0,
5,2,west_lafayette_in,2017october,0.49,0.22,0.355,3.61,4.60,4.105,18.26,22.38,0,0,1,
5,3,west_lafayette_in,2017october,0.10,0.10,0.100,5.00,6.00,5.500,20.08,23.54,0,0,0,
5,4,west_lafayette_in,2017october,1.20,1.18,1.190,6.10,4.03,5.065,17.09,30.35,1,0,0,
5,5,west_lafayette_in,2017october,0.10,0.10,0.100,6.00,5.00,5.500,21.06,28.01,0,0,0,
5,6,west_lafayette_in,2017october,0.50,1.00,0.750,7.00,6.00,6.500,16.66,29.16,1,0,0,
5,7,west_lafayette_in,2017october,1.80,1.24,1.520,6.30,6.39,6.345,17.5,25.6,0,0,0,
5,8,west_lafayette_in,2017october,0.60,0.40,0.500,6.00,5.00,5.500,18,26.2,0,0,0,
5,9,west_lafayette_in,2017october,1.02,1.11,1.065,8.36,6.05,7.205,20.37,29.7,0,1,0,
5,10,west_lafayette_in,2017october,0.90,1.10,1.000,3.30,5.03,4.165,18.1,23,0,0,1,
5,11,west_lafayette_in,2017october,1.00,0.10,0.550,4.00,3.00,3.500,15.72,24.29,0,0,0,
5,12,west_lafayette_in,2017october,1.20,1.30,1.250,4.38,5.64,5.010,16.3,20.8,1,0,0,
4,3,west_lafayette_in,2017october,,,2.930,,,2.780,8.12,13.14,0,0,0,n/a
4,4,west_lafayette_in,2017october,,,2.860,,,2.240,7.58,13.69,0,1,0,E.Obtusiuentris
4,1,west_lafayette_in,2017october,,,4.270,,,1.950,16.76,23.9,0,0,0,n/a
4,2,west_lafayette_in,2017october,,,3.110,,,3.130,17.93,21.56,0,1,0,E. Gigantea
4,6,west_lafayette_in,2017october,,,3.720,,,2.550,17.71,22.56,0,0,1,Bird attack
4,8,west_lafayette_in,2017october,,,5.550,,,3.440,20.18,28.7,0,0,1,Bird attack
4,7,west_lafayette_in,2017october,,,1.870,,,1.710,15.95,21.19,0,1,0,E. Gigantea
4,9,west_lafayette_in,2017october,,,3.590,,,2.220,15.71,20.85,0,1,0,E. Gigantea
4,5,west_lafayette_in,2017october,,,6.480,,,2.770,18.54,27.41,0,1,0,E. Gigantea
4,10,west_lafayette_in,2017october,,,3.290,,,2.550,12.24,14.65,0,0,0,Early Larva death
4,11,west_lafayette_in,2017october,,,5.930,,,3.210,17.82,20.54,0,0,0,unknown
4,12,west_lafayette_in,2017october,,,4.720,,,2.970,14.55,22.27,0,0,0,Early Larva death
3,1,west_lafayette_in,2017october,0.32,0.27,0.295,6.28,6.40,6.340,18.31,23.27,0,0,0,Early Larva death
3,2,west_lafayette_in,2017october,0.67,0.63,0.650,5.73,5.29,5.510,16.15,28.21,0,1,0,E. Gigantea
3,3,west_lafayette_in,2017october,0.51,0.86,0.685,3.96,4.12,4.040,21.39,24.47,0,1,0,E. Gigantea
3,4,west_lafayette_in,2017october,0.36,0.23,0.295,6.08,4.55,5.315,18.06,20.74,0,1,0,E. Gigantea
3,5,west_lafayette_in,2017october,0.28,0.86,0.570,4.77,4.22,4.495,13.85,20.76,0,1,0,E. Gigantea
3,6,west_lafayette_in,2017october,0.71,0.83,0.770,5.61,5.83,5.720,19.69,27.6,0,0,0,Early Larva death
3,7,west_lafayette_in,2017october,0.47,0.50,0.485,7.88,4.10,5.990,17,22.81,1,0,0,
3,8,west_lafayette_in,2017october,0.82,0.78,0.800,7.06,5.16,6.110,19.12,28.22,1,0,0,
3,9,west_lafayette_in,2017october,0.62,0.60,0.610,3.92,3.39,3.655,14.96,24.81,0,0,0,Unknown
3,10,west_lafayette_in,2017october,0.55,0.49,0.520,4.35,4.02,4.185,13.13,15.09,0,1,0,E. Gigantea
3,11,west_lafayette_in,2017october,0.99,0.76,0.875,5.50,6.50,6.000,20.05,23.81,0,0,1,Bird Attack
3,12,west_lafayette_in,2017october,0.28,0.45,0.365,4.88,5.53,5.205,16.28,20.13,0,1,0,E. Gigantea
