section,group,collection_site,collection_date,gall_id,gall_diameter_mm,parasitoid?,parasitoid-type,plant_height_to_gall_base_cm,bird_predation?,gallfly_larva_length_mm,chamber_diameter_mm,gall_circumference_mm
6,1,kbs_mi,2012spring,1,19.1,y,lw,65.4,y,,,
6,1,kbs_mi,2012spring,2,20,y,lw,82.2,n,,,
6,1,kbs_mi,2012spring,3,17.5,y,lw,78.3,n,,,
6,1,kbs_mi,2012spring,4,18.7,y,lw,91.5,n,,,
6,1,kbs_mi,2012spring,5,18.9,y,ew,69.1,y,4,,
6,1,kbs_mi,2012spring,6,24.1,y,ew,81,n,5.3,,
6,2,kbs_mi,2012spring,1,18.8,y,lw,98.5,n,,,
6,2,kbs_mi,2012spring,2,20.1,n,,89.5,y,1.9,,
6,2,kbs_mi,2012spring,3,15.1,y,lw,93.5,y,,,
6,2,kbs_mi,2012spring,4,18.5,y,lw,86.5,n,,,
6,2,kbs_mi,2012spring,5,23.7,y,ew,85.6,y,6.8,,
6,2,kbs_mi,2012spring,6,22.8,y,lw,75.9,y,,,
6,3,kbs_mi,2012spring,1,20.3,y,ew,80.6,y,,,
6,3,kbs_mi,2012spring,2,19.3,n,,92.5,n,,,
6,3,kbs_mi,2012spring,3,22.5,y,ew,73,y,,,
6,3,kbs_mi,2012spring,4,18.9,n,,75,n,,,
6,3,kbs_mi,2012spring,5,18,n,,61.7,y,,,
6,3,kbs_mi,2012spring,6,22.2,y,ew,76,n,,,
6,4,kbs_mi,2012spring,1,20,y,lw,74.2,n,,,
6,4,kbs_mi,2012spring,2,17.8,y,ew,74,n,2,,
6,4,kbs_mi,2012spring,3,17.8,y,lw,64.3,n,,,
6,4,kbs_mi,2012spring,4,16.5,y,lw,65.2,n,,,
6,4,kbs_mi,2012spring,5,18.5,y,lw,82.6,n,,,
6,4,kbs_mi,2012spring,6,17,y,lw,104,n,,,
6,5,kbs_mi,2012spring,1,23.6,y,ew,83.2,y,,,
6,5,kbs_mi,2012spring,2,21.8,n,,89.3,y,2.9,,
6,5,kbs_mi,2012spring,3,13.2,y,lw,95.5,y,,,
6,5,kbs_mi,2012spring,4,19.5,y,lw,89.4,y,,,
6,5,kbs_mi,2012spring,5,21.8,y,ew,90.2,y,,,
6,5,kbs_mi,2012spring,6,23.3,y,ew,99,n,,,
6,6,kbs_mi,2012spring,1,22.3,y,ew,67,n,,,
6,6,kbs_mi,2012spring,2,18.6,n,,86,y,,,
6,6,kbs_mi,2012spring,3,17.8,n,,78,n,3.2,,
6,6,kbs_mi,2012spring,4,20,y,ew,79,y,,,
6,6,kbs_mi,2012spring,5,19.7,y,ew,75,y,,,
6,6,kbs_mi,2012spring,6,21.3,y,ew,87,y,,,
5,1,kbs_mi,2012spring,1,19.6,n,,119,,,8.1,60
5,1,kbs_mi,2012spring,2,22.7,n,,95,,,7.8,74
5,1,kbs_mi,2012spring,3,21.2,y,LW,97,,,7.9,66
5,1,kbs_mi,2012spring,4,21.4,y,LW,83.5,,,5.8,68
5,1,kbs_mi,2012spring,5,18.4,y,EW,93.5,,,6.8,58
5,1,kbs_mi,2012spring,6,22.2,y,EW,87.3,,,8.3,71
5,2,kbs_mi,2012spring,1,23,n,,77,,,5.5,72
5,2,kbs_mi,2012spring,2,19,Y,EW,78.9,,,8,61
5,2,kbs_mi,2012spring,3,21.6,n,,95.5,,,9.7,68
5,2,kbs_mi,2012spring,4,23.3,Y,EW,77.8,,,4.9,74
5,2,kbs_mi,2012spring,5,21.7,Y,EW,83,,,7.2,66
5,2,kbs_mi,2012spring,6,20.6,Y,EW,100,,,7.8,67
5,3,kbs_mi,2012spring,1,19.8,y,EW,70.2,,,7.1,65
5,3,kbs_mi,2012spring,2,16.3,y,LW,77.8,,,10,53
5,3,kbs_mi,2012spring,3,19.7,n,,84.3,,,9,61
5,3,kbs_mi,2012spring,4,16.2,n,,87.1,,,2.8,56
5,3,kbs_mi,2012spring,5,21.3,n,,77.5,,,5.4,67
5,3,kbs_mi,2012spring,6,15.7,y,LW,85.2,,,10,52
5,4,kbs_mi,2012spring,1,21.4,y,EW,85.9,,,6.7,65
5,4,kbs_mi,2012spring,2,18.2,y,LW,80,,,4,59.5
5,4,kbs_mi,2012spring,3,15.7,y,LW,90.5,,,2.1,51
5,4,kbs_mi,2012spring,4,19.3,y,EW,81.6,,,7.3,69
5,4,kbs_mi,2012spring,5,17.8,y,LW,65,,,8,63
5,4,kbs_mi,2012spring,6,21.8,y,EW,88.1,,,6.5,67
5,5,kbs_mi,2012spring,1,17.7,Y,LW,90.5,,,7.8,61
5,5,kbs_mi,2012spring,2,18.9,Y,LW,69.6,,,7.1,61
5,5,kbs_mi,2012spring,3,17.3,Y,LW,94.4,,,6.1,60
5,5,kbs_mi,2012spring,4,18.1,Y,LW,66.1,,,8.9,59
5,5,kbs_mi,2012spring,5,22.5,n,,95.4,,,6.5,74
5,5,kbs_mi,2012spring,6a,19.4,Y,LW,84.3,,,4.8,62
5,5,kbs_mi,2012spring,6b,19.6,Y,EW,99.7,,,6.8,61
