section,group,collection_site,collection_date,gall_id,gall_diameter_mm,plant_height_to_gall_base_cm,bird_predation?,early_wasp?,late_wasp?,beetle?,intact_gallfly_larva?,gall_wall_thickness_mm,chamber_diameter_mm,stem_width_2cm_below_gall,gall_contents,plant_height_with_gall_cm,plant_height_without_gall_cm
1,1,kbs_mi,2013january,1,19.7,62.3,n,N,N,Y,N,7.8,6.5,,beetle,,
1,1,kbs_mi,2013january,2,20.3,81.5,n,N,N,Y,N,6.4,7.4,,beetle,,
1,1,kbs_mi,2013january,3,16.0,55.1,n,N,Y,N,N,2.8,5.0,,LW,,
1,1,kbs_mi,2013january,4,14.5,63.2,n,N,N,Y,N,7.5,3.4,,beetle,,
1,1,kbs_mi,2013january,5,19.9,76.8,n,N,N,Y,N,6.5,5.7,,beetle,,
1,1,kbs_mi,2013january,6,14.8,66.0,n,N,N,Y,N,4.2,5.9,,beetle,,
1,2,kbs_mi,2013january,1,15.8,86.6,n,Y,N,N,N,4.9,1.4,,EW,,
1,2,kbs_mi,2013january,2,12.9,60.5,n,Y,N,N,N,4.5,1.9,,EW,,
1,2,kbs_mi,2013january,3,10.8,57.6,n,Y,N,N,N,5.4,0.0,,EW,,
1,2,kbs_mi,2013january,4,16.8,67.0,n,N,N,N,Y,5.6,5.7,,Gall fly larva,,
1,2,kbs_mi,2013january,5,15.6,90.3,n,N,N,Y,N,4.9,1.0,,beetle,,
1,2,kbs_mi,2013january,6,10.3,84.4,n,Y,N,N,N,3.3,4.6,,EW,,
1,3,kbs_mi,2013january,1,12.1,63.1,n,N,N,N,Y,3.2,6.1,,no,,
1,3,kbs_mi,2013january,2,15.3,69.9,n,N,N,Y,N,6.4,5.6,,beetle,,
1,3,kbs_mi,2013january,3,18.1,77.1,n,N,N,N,Y,6.8,5.9,,no,,
1,3,kbs_mi,2013january,4,11.4,65.2,n,N,N,Y,N,3.1,4.2,,beetle,,
1,3,kbs_mi,2013january,5,19.9,74.2,n,N,N,N,Y,4.0,4.9,,no,,
1,3,kbs_mi,2013january,6,21.4,66.7,n,N,N,Y,N,8.1,8.0,,beetle,,
1,4,kbs_mi,2013january,1,13.5,66.5,n,N,N,Y,N,3.2,10.0,,beetle,,
1,4,kbs_mi,2013january,2,10.6,45.4,n,N,N,Y,N,3.6,4.9,,beetle,,
1,4,kbs_mi,2013january,3,13.3,70.4,n,Y,N,N,N,4.9,5.5,,EW,,
1,4,kbs_mi,2013january,4,20.8,77.3,n,N,N,N,Y,8.2,4.9,,no,,
1,4,kbs_mi,2013january,5,17.4,77.3,n,N,N,Y,N,4.6,2.8,,beetle,,
1,4,kbs_mi,2013january,6,14.9,76.6,n,N,N,N,Y,4.1,6.8,,no,,
1,5,kbs_mi,2013january,1,14.6,60.5,n,N,N,Y,N,5.7,2.5,,beetle,,
1,5,kbs_mi,2013january,3,10.0,64.8,n,Y,N,N,N,2.1,0.5,,EW,,
1,5,kbs_mi,2013january,4,23.0,66.5,n,N,N,N,early death,7.1,5.9,,early death,,
1,5,kbs_mi,2013january,5,15.7,75.4,n,N,Y,N,N,7.8,0.1,,LW,,
1,5,kbs_mi,2013january,6,14.1,91.8,n,N,Y,N,N,5.7,0.3,,LW,,
1,5,kbs_mi,2013january,2A,17.5,69.1,n,N,N,N,early death,6.3,2.2,,early death,,
1,5,kbs_mi,2013january,2B,15.0,74.5,n,N,N,N,early death,4.1,1.0,,early death,,
1,6,kbs_mi,2013january,A,14.0,67.5,n,N,Y,N,N,4.2,2.3,,LW,,
1,6,kbs_mi,2013january,B,10.2,72.5,n,N,Y,N,N,3.0,5.8,,LW,,
1,6,kbs_mi,2013january,C,15.5,61.4,n,N,Y,N,N,5.0,5.0,,LW,,
1,6,kbs_mi,2013january,D,14.5,,n,N,N,Y,N,4.0,8.5,,beetle,,
1,6,kbs_mi,2013january,E,12.5,,n,N,N,Y,N,5.0,6.5,,beetle,,
1,6,kbs_mi,2013january,F,17.7,76.4,n,N,Y,N,N,6.6,5.8,,LW,,
2,1,kbs_mi,2013january,1,15.0,45.1,n,N,N,N,Y,7.8,,2.2,None,,
2,1,kbs_mi,2013january,2,12.8,69.8,n,N,N,Y,N,5.3,,3.0,beetle,,
2,1,kbs_mi,2013january,3,15.6,66.3,n,N,N,Y,N,7.6,,2.4,beetle,,
2,1,kbs_mi,2013january,4,21.9,66.1,n,Y,N,N,N,6.5,,4.7,EW,,
2,1,kbs_mi,2013january,5,14.6,53.5,n,N,N,N,Y,5.4,,2.3,None,,
2,1,kbs_mi,2013january,6,16.8,76.8,n,N,N,Y,N,7.3,,4.4,beetle,,
2,2,kbs_mi,2013january,a,19.0,69.0,n,N,N,Y,N,9.1,,3.3,beetle,,
2,2,kbs_mi,2013january,b,19.0,72.0,n,N,N,Y,N,8.0,,3.0,beetle,,
2,2,kbs_mi,2013january,c,13.0,84.0,n,N,N,Y,N,6.0,,3.7,beetle,,
2,2,kbs_mi,2013january,d,11.0,63.5,n,N,Y,N,N,3.5,,2.8,LW,,
2,2,kbs_mi,2013january,e,13.0,59.0,n,N,Y,N,N,4.0,,1.1,LW,,
2,2,kbs_mi,2013january,f,13.0,84.0,n,N,N,N,Y,2.5,,2.0,None,,
2,3,kbs_mi,2013january,1,11.1,61.5,n,N,N,Y,N,6.0,,1.0,beetle,,
2,3,kbs_mi,2013january,2,18.0,74.0,n,N,N,N,Y,6.5,,2.0,None,,
2,3,kbs_mi,2013january,3,19.0,88.3,n,N,N,N,Y,7.0,,1.1,None,,
2,3,kbs_mi,2013january,4,11.0,70.5,n,N,N,N,Y,5.0,,6.0,None,,
2,3,kbs_mi,2013january,5,15.0,77.6,n,N,N,N,Y,4.0,,7.0,None,,
2,3,kbs_mi,2013january,6,16.0,85.9,n,N,N,Y,N,5.5,,1.0,beetle,,
2,4,kbs_mi,2013january,1,12.8,71.5,n,Y,N,N,N,4.4,,2.7,EW,,
2,4,kbs_mi,2013january,2,19.6,74.3,n,Y,N,Y,N,7.6,,2.8,EW/BL,,
2,4,kbs_mi,2013january,3,13.0,88.5,n,N,N,N,Y,2.9,,1.8,None,,
2,4,kbs_mi,2013january,4,16.2,78.5,n,N,N,N,Y,3.1,,2.9,None,,
2,4,kbs_mi,2013january,5,16.7,68.2,n,Y,N,N,N,4.4,,1.7,EW,,
2,4,kbs_mi,2013january,6,15.1,59.8,n,N,N,N,Y,4.1,,1.6,none,,
2,5,kbs_mi,2013january,1,12.3,57.2,n,N,N,Y,N,5.1,,2.8,beetle,,
2,5,kbs_mi,2013january,2,15.0,70.1,n,N,N,N,Y,6.0,,2.6,none,,
2,5,kbs_mi,2013january,3,18.8,83.0,n,N,N,N,Y,4.7,,3.5,none,,
2,5,kbs_mi,2013january,4,18.9,64.3,n,N,N,N,Y,5.8,,3.1,none,,
2,5,kbs_mi,2013january,5,19.7,50.2,n,Y,N,N,N,7.7,,3.1,EW,,
2,5,kbs_mi,2013january,6,13.0,71.0,n,N,N,Y,N,5.0,,2.8,beetle,,
2,6,kbs_mi,2013january,1,14.3,76.0,n,N,N,N,Y,1.6,,1.7,none,,
2,6,kbs_mi,2013january,2,11.8,56.3,n,N,N,N,Y,1.3,,1.6,none,,
2,6,kbs_mi,2013january,3,19.8,69.5,n,N,N,N,Y,5.6,,2.9,none,,
2,6,kbs_mi,2013january,4,20.9,84.0,n,N,N,N,Y,6.2,,2.1,gull fly,,
2,6,kbs_mi,2013january,5,11.3,68.5,n,N,N,N,Y,5.1,,1.1,none,,
2,6,kbs_mi,2013january,6,14.1,65.2,n,N,N,N,Y,6.0,,1.9,none,,
,,gladwin_mi,20121124,,22,45,n,n,y,n,,9,,,,,
,,gladwin_mi,20121124,,20,46,n,n,n,y,,6,,,,,
,,gladwin_mi,20121124,,14,69.5,n,n,n,n,,4,,,,,
,,gladwin_mi,20121124,,21,47.5,n,n,y,n,,7,,,,,
,,gladwin_mi,20121124,,19,40.5,n,n,n,n,,5,,,,,
,,gladwin_mi,20121124,,18,41,n,n,n,n,,6,,,,,
,,gladwin_mi,20121124,,21,72,n,n,n,n,,7,,,,,
,,gladwin_mi,20121124,,21,58,n,n,n,n,,9,,,,,
,,gladwin_mi,20121124,,23,59,n,y,n,n,,8,,,,,
,,gladwin_mi,20121124,,16,34,n,n,y,n,,4,,,,,
,,gladwin_mi,20121124,,21,65,n,n,y,n,,8,,,,,
,,gladwin_mi,20121124,,20,61,n,y,n,n,,8,,,,,
,,gladwin_mi,20121124,,23,58,n,n,n,n,,9,,,,,
,,gladwin_mi,20121124,,19,36,n,n,n,n,,8,,,,,
,,gladwin_mi,20121124,,16,63,n,y,n,n,,4,,,,,
,,gladwin_mi,20121124,,19,53.5,n,n,n,n,,8,,,,,
,,gladwin_mi,20121124,,19,54,n,n,n,n,,7,,,,,
,,gladwin_mi,20121124,,18,37.6,n,n,y,n,,5,,,,,
,,gladwin_mi,20121124,,20,38.5,n,n,n,n,,5,,,,,
,,gladwin_mi,20121124,,18,46,n,n,n,n,,6,,,,,
,,gladwin_mi,20121124,,17,39.5,n,n,y,n,,6,,,,,
,,gladwin_mi,20121124,,14,40,n,n,n,y,,6,,,,,
,,gladwin_mi,20121124,,23,64.5,n,n,y,n,,7,,,,,
,,gladwin_mi,20121124,,12,70,n,n,n,n,,4,,,,,
,,gladwin_mi,20121124,,18,49,n,n,n,y,,6,,,,,
,,gladwin_mi,20121124,,20,36,n,n,n,n,,7,,,,,
,,gladwin_mi,20121124,,19,44,n,n,n,n,,5,,,,,
,,gladwin_mi,20121124,,22,48,n,n,n,n,,8,,,,,
,,gladwin_mi,20121124,,21,51,n,n,n,y,,6,,,,,
,,gladwin_mi,20121124,,17,43,n,n,y,n,,5,,,,,
,,gladwin_mi,20121124,,23,43.5,n,n,n,n,,9,,,,,
,,gladwin_mi,20121124,,18,58,n,n,n,y,,6,,,,,
,,gladwin_mi,20121124,,21,34.2,n,n,n,n,,6,,,,,
,,gladwin_mi,20121124,,9,56,n,n,n,n,,2,,,,,
,,gladwin_mi,20121124,,19,47.5,n,n,y,n,,4,,,,,
,,gladwin_mi,20121124,,20,40.6,n,n,y,n,,5.5,,,,,
,,gladwin_mi,20121124,,19,45.5,y,n,n,n,,7.5,,,,,
,,unknown,2012_2013winter,,,,,,,,,,,,,124.0,88.3
,,unknown,2012_2013winter,,,,,,,,,,,,,123.0,105.3
,,unknown,2012_2013winter,,,,,,,,,,,,,114.0,87.5
,,unknown,2012_2013winter,,,,,,,,,,,,,127.0,100.2
,,unknown,2012_2013winter,,,,,,,,,,,,,127.0,122.1
,,unknown,2012_2013winter,,,,,,,,,,,,,120.0,109.3
,,unknown,2012_2013winter,,,,,,,,,,,,,114.0,130.0
